,match_id,tournament_id,tournament_name,tournament_slug,tournament_unique_id,tournament_category_name,tournament_category_slug,user_count,ground_type,tennis_points,has_event_player_statistics,crowd_sourcing_enabled,has_performance_graph_feature,display_inverse_home_away_teams,priority,competition_type
17609,12371939,131032,"Baotou, Singles Main, M-ITF-CHN-03A",baotou-singles-main-m-itf-chn-03a,,ITF Men,itf-men,15,Red clay,,False,True,False,False,0,2
17610,12371940,131032,"Baotou, Singles Main, M-ITF-CHN-03A",baotou-singles-main-m-itf-chn-03a,,ITF Men,itf-men,15,Red clay,,False,False,True,True,0,2
17611,12371941,131032,"Baotou, Singles Main, M-ITF-CHN-03A",baotou-singles-main-m-itf-chn-03a,,ITF Men,itf-men,11,Red clay,,True,False,True,False,0,2
17612,12371970,131034,"Changwon, Singles Main, W-ITF-KOR-02A",changwon-singles-main-w-itf-kor-02a,,ITF Women,itf-women,17,Hardcourt outdoor,,False,True,False,True,0,2
17613,12371971,131034,"Changwon, Singles Main, W-ITF-KOR-02A",changwon-singles-main-w-itf-kor-02a,,ITF Women,itf-women,17,Hardcourt outdoor,,True,True,False,True,0,2
17614,12371972,131034,"Changwon, Singles Main, W-ITF-KOR-02A",changwon-singles-main-w-itf-kor-02a,,ITF Women,itf-women,17,Hardcourt outdoor,,False,False,True,True,0,2
17615,12371973,131034,"Changwon, Singles Main, W-ITF-KOR-02A",changwon-singles-main-w-itf-kor-02a,,ITF Women,itf-women,17,Hardcourt outdoor,,True,False,True,True,0,2
17616,12371978,130934,"Changwon, Singles Qualifying, W-ITF-KOR-02A",changwon-singles-qualifying-w-itf-kor-02a,,ITF Women,itf-women,17,Hardcourt outdoor,,False,True,False,False,0,2
17617,12371979,131034,"Changwon, Singles Main, W-ITF-KOR-02A",changwon-singles-main-w-itf-kor-02a,,ITF Women,itf-women,17,Hardcourt outdoor,,False,False,True,True,0,2
17618,12371980,130934,"Changwon, Singles Qualifying, W-ITF-KOR-02A",changwon-singles-qualifying-w-itf-kor-02a,,ITF Women,itf-women,17,Hardcourt outdoor,,False,True,True,False,0,2
17619,12371981,131034,"Changwon, Singles Main, W-ITF-KOR-02A",changwon-singles-main-w-itf-kor-02a,,ITF Women,itf-women,17,Hardcourt outdoor,,True,False,True,False,0,2
17620,12371982,131034,"Changwon, Singles Main, W-ITF-KOR-02A",changwon-singles-main-w-itf-kor-02a,,ITF Women,itf-women,17,Hardcourt outdoor,,True,False,True,True,0,2
17621,12371983,131034,"Changwon, Singles Main, W-ITF-KOR-02A",changwon-singles-main-w-itf-kor-02a,,ITF Women,itf-women,17,Hardcourt outdoor,,False,True,True,False,0,2
17622,12372057,130961,"Bol, Singles Qualifying, W-ITF-CRO-06A",bol-singles-qualifying-w-itf-cro-06a,,ITF Women,itf-women,6,Red clay,,True,True,True,True,0,2
17623,12372058,130961,"Bol, Singles Qualifying, W-ITF-CRO-06A",bol-singles-qualifying-w-itf-cro-06a,,ITF Women,itf-women,6,Red clay,,False,True,False,True,0,2
17624,12372137,130961,"Bol, Singles Qualifying, W-ITF-CRO-06A",bol-singles-qualifying-w-itf-cro-06a,,ITF Women,itf-women,6,Red clay,,False,True,True,True,0,2
17625,12372144,130950,"Kiseljak, Singles Qualifying, M-ITF-BIH-04A",kiseljak-singles-qualifying-m-itf-bih-04a,,ITF Men,itf-men,18,Red clay,,True,False,True,False,0,2
17626,12372145,130950,"Kiseljak, Singles Qualifying, M-ITF-BIH-04A",kiseljak-singles-qualifying-m-itf-bih-04a,,ITF Men,itf-men,18,Red clay,,True,False,True,True,0,2
17627,12372153,130961,"Bol, Singles Qualifying, W-ITF-CRO-06A",bol-singles-qualifying-w-itf-cro-06a,,ITF Women,itf-women,6,Red clay,,False,False,True,False,0,2
17628,12372229,130960,"Bol, Singles Qualifying, M-ITF-CRO-10A",bol-singles-qualifying-m-itf-cro-10a,,ITF Men,itf-men,4,Red clay,,True,False,False,True,0,2
