,match_id,city,stadium,venue_id,country
18177,12368848,Vicenza,CAMPO 5,21892,Italy
18178,12368849,Vicenza,CENTRALE,21891,Italy
18179,12368850,Vicenza,CENTRALE,21891,Italy
18180,12369610,Little Rock,Stadium,25339,USA
18181,12369614,Little Rock,Court 1,25341,USA
18182,12369617,Little Rock,Stadium,25339,USA
18183,12369619,Little Rock,Court 1,25341,USA
18184,12370960,Rio Claro,Court 3,44593,Brazil
18185,12370968,Rio Claro,Court 5,44597,Brazil
18186,12370975,Rio Claro,Center Court,44594,Brazil
18187,12371224,Klagenfurt,Court 4,44550,Austria
18188,12371225,Santo Domingo,Court 4,40142,Dominican Republic
18189,12371228,Carnac,C#2 ORSON BAY,44561,France
18190,12371233,Santo Domingo,Court 1,19914,Dominican Republic
18191,12371234,Klagenfurt,Court 6,44606,Austria
18192,12371564,Karuizawa,Court 7,25308,Japan
18193,12371565,Karuizawa,Court 1,21946,Japan
18194,12371566,Karuizawa,Court 9,21943,Japan
18195,12371570,Karuizawa,Court 8,21945,Japan
18196,12371571,Karuizawa,Court 8,21945,Japan
18197,12371573,Karuizawa,Court 2,21947,Japan
18198,12371575,Karuizawa,Court 3,21944,Japan
18199,12371924,Baotou,Court 1,21802,China
18200,12371925,Baotou,Court 2,40935,China
18201,12371926,Baotou,Court 2,40935,China
18202,12371927,Baotou,Court 3,21801,China
18203,12371928,Baotou,Court 1,21802,China
18204,12371931,Baotou,Court 3,21801,China
18205,12371934,Baotou,Court 2,40935,China
18206,12371935,Baotou,Court 3,21801,China
18207,12371939,Baotou,Court 1,21802,China
18208,12372585,Otocec,Court 1,29457,Slovenia
18209,12372746,Otocec,Court 2,29472,Slovenia
18210,12372763,Otocec,Court 2,29472,Slovenia
18211,12372910,Galati,Court 3,44547,Romania
18212,12372963,Kursumlijska Banja,Court 1,39048,Serbia
18213,12372976,Kursumlijska Banja,COURT VIKTOR TROICKI,39706,Serbia
18214,12372979,Kursumlijska Banja,COURT VIKTOR TROICKI,39706,Serbia
18215,12372981,Kursumlijska Banja,Court 2,39050,Serbia
18216,12372983,Kursumlijska Banja,Court 3,39051,Serbia
18217,12372989,Kursumlijska Banja,Court 4,39044,Serbia
18218,12372997,Carnac,Central,39683,France
18219,12372998,Carnac,Indoor CLAY,44635,France
18220,12372999,Carnac,C#2 ORSON BAY,44561,France
18221,12373000,Carnac,C#3 QUIETALIS,44564,France
18222,12373001,Carnac,Central,39683,France
18223,12373004,Carnac,C#2 ORSON BAY,44561,France
18224,12373005,Klagenfurt,Court 4,44550,Austria
18225,12373009,Klagenfurt,Court 3,44554,Austria
18226,12373013,Vicenza,Campo 4,44560,Italy
18227,12373014,Vicenza,CENTRALE,21891,Italy
18228,12373015,Vicenza,CAMPO 5,21892,Italy
18229,12373016,Vicenza,CENTRALE,21891,Italy
18230,12373017,Vicenza,CENTRALE,21891,Italy
18231,12373018,Vicenza,Campo 4,44560,Italy
18232,12373033,Otocec,Court 4,29459,Slovenia
18233,12373035,Otocec,Court 4,29459,Slovenia
18234,12373036,Otocec,Court 2,29472,Slovenia
18235,12373044,La Marsa,LLOYD Court,39720,Tunisia
18236,12373050,La Marsa,ASM Court,39700,Tunisia
18237,12373075,Montemor-O-Novo,Court 2,23487,Portugal
18238,12373077,Montemor-O-Novo,Court 1,23533,Portugal
18239,12373079,Montemor-O-Novo,Court 1,23533,Portugal
18240,12373092,Montemor-O-Novo,Court 2,23487,Portugal
